author	comment
@fabfitforever4934	I’m interested in doing tech courses
@teclasicbaldi	i completed Everyday Excel Part 1 and everything went well. now i'm having issues with Everyday Excel Part 2 because the 2nd Assignment it's very far from the content of videos of the week, is definetely beyond the scope of the videos and i'm stuck there from a while now. i'm considering to give up 
@RodgersMasawi-ef5vc	Not yet, there are many things I need to understand about this platform? How can we communicate
@Redlights111	Idk about the certificates but I use their top university lessons to learn korean for free. I did one lesson today and I'm impressed.
@berryberrystrawberry2428	Do they take the lessons on meet? or are they video explanations?
@Redlights111	 @berryberrystrawberry2428  Video explanations but what I have used is very interractive and at the end of each video you can download worksheet with all the words just learned in the video. I have used yonsei university course to learn korean. The courses vary with different topics though.
@Redlights111	 @gradehacker  I'm conversational by now. I use mix of free resourses including the coursera courses.
@DeeSavageApocalypseThe1st	Was looking for data analyst related boot camps come to find that my local uni charges over 13000, yet Coursera is about 59$
@IAmHisBeloved5	Any update?
@zee9276	how did it go?? update please.
@Pixels_and_Points	Video lectures are not the same as in-person learning, where your work is reviewed by a learned expert, with feedback given, and with the ability to ask questions for clarification. Peer-grades aren't worth much. So, it's a big price difference but a big difference in what you're getting. (Still, we all know higher ed is overly priced now.)
@neelamchaudhry4457	You can applied for financial aid
@jegaevi7371	"Thank you for this in depth review! I think you were really fair.\n\nMy university gives out free Coursera to all of the students who want it, so I don't have to pay for certificates, but I think I would probably continue using the platform even after I graduated and didn't 't have free access anymore.\n\nI think it is a great way to deepen your knowledge in your own field, or try other, unfamiliar fields as well. All of the courses are high quality and a lot of them are even enjoyable to take and they never feel like a chore.\n\nMy only problem is that peer reviews are nothing more than a joke. It is not even that you are not reviewed by experts, but your course mates usually put zero effort into reviewing your work. I never got any constructive criticism, they usually just say ""Good."", probably without reading what I wrote, or say ""Could have been better"".\n\nAlso, I wish they had more subjects in Humanities. There are only a couple of literature/culture courses."
@psychedelictacos9118	So if you pay the 50 dollars per month you can do any of the courses that cost 50 dollars? its just kind of like a subscription to Netflix that gives you access to all of its shows apart from the advanced courses in this case that cost over $2000 USD??
@DHScuts	If we buy one course is it life time accessible or it will be over within the given period of time
@englishaa	Is peer graded assignment  compulsory for getting a certificate?
@TJPRINCEALLAH	so if i take a free course & succeed i have the option to pay for the certificate when i’m done?
@filipmachacek	Good, short and informative review. Nice vid. 
@LSOeaDASJD	i dont get it , so if im willing to take a computer science degree from scratch and lets say it takes me 3 years , how much will i pay ?
@EDGEHILLBBKE	I took several courses, great contents. My challenge here comes in and I need help with payment. I woud wish to do payment direct from bank is it an available option? Payment criteria CANNOT work for me where I am .
@bilalqasmi9907	I'm an Electrical and Electronics Engineer. I want to persue career in Cyber Security of Microsoft Certification. What will be the cost all in all? I've researched and found out $49/month. How it'll be calculated if I finish in 3 months or in 6 months?
@mohammadfilvan8068	Hello, I signed up for the Teamwork and Creativity course, it has 5 modules. I have just answered the tasks of the first module and taken the final exam, which is subject to a fee. I wanted to ask if we have to pass all five modules in this mentioned course to get a certificate or can we get a certificate after passing the each module?
@jegaevi7371	You will get a certificate for each individual course and then one more when you complete all of them, aka complete the specialisation. This means that if you are only interested in completing certain courses, not all of them, you can, but to earn the final certificate you have to complete all of the courses.
@DaferrFN	What about people that are not in university? \nI mean, I finished high school like 20 years ago and that was it.\nWould someone like me be able to learn the free courses? \nIt's not like I am that bright... unfortunantly.
@ciegosanchez5289	Question: why do I get a certificate for each course I finish? Like they’ll be 4 parts and I get a certificate for all of them? Should it be just one final certificate at the end?
@gonzojones8422	What’s to stop your class mate failing you because they want to?
@jegaevi7371	If someone gives you a bad review because they are trolling, you can just resubmit your assignment. It is annoying, but it won't have any negative effects on your grade. It does happen sometimes, but it is pretty rare. It is more common to receive max points.
@ELCHUCKO666	"Coursera is not an accredited platform per se?  WTF? ""Coursera Certificates Are Not Accredited. While a Coursera certificate can look good on your resume, it's important to keep in mind that these certificates are not accredited. That means they likely won't be accepted as credit towards a degree or other formal education program."""
@srilekhareddy9877	What happens if we don't finish the subscription course in time?
@goodbye_kitty_xoxo	Somehow it doesn’t let me have a free course, though it says the course is free. What may be a problem?
@elizabethmwaniah3765	Does it offer Accounting courses?
@AM2PMReviews	I have only done two courses and it seems to have some boring structure and a lot of fluff. like they will have a 2 minute overview and then a 1 min conclusion on a topic I just saw.
@nazuada	Hey would you mind sharing which ones you did? I am thinking if Data Analysis is worth it
@waybackretroreviews	Are Coursera Certificates certifiable to get a job?
@gangarapusabithasabitha666	I want to learn c language from coursera and iam in my 1st year of engineering in ece i want a degree too
@Bliss20244	Is it possible to do the course if I don't have a computer? Can I do everything through phone?
@typicalgamer5560	Should be possible as there is an app
@charitykariuki-k9q	I would like to take some easy courses like virtual assistant, how do I go about
@anshuxanime441	Dose Coursera provide video lectures too??
@akashratnakar3852	Can anyone tell me what will be best courses for hospital and management
@akashratnakar3852	 @gradehacker  better CV n better placement chances along with knowledge
@brijkumar8207	How can I call coursera.
