author	comment
@abirbenchaouech4145	I completed 162 courses and 13 specialities on Coursera and i highly recommend it. The content quality of each course was really excellent
@vincentortega4284	Thanks for the info. Abir.
@abirbenchaouech4145	 @RichardWalls  Thank you  best of luck for you too
@OVXX666	did it impress employers? did it help you find a job?
@brooklynjune9201	 @abirbenchaouech4145  AMAZING  you are an inspiration.
@abirbenchaouech4145	 @brooklynjune9201  Thank you 
@hudzaifahibnuyaman7247	and for how long have you been using Coursera, or took you to earned those?
@shivanshvats7621	Can u recommend some language course like java and python on course era. And web development ?
@newadventure7854	How long it took you to do all of that !!
@emersonolivares9217	I'm a college grad and took two courses from Coursera and graduated with two certificates from Coursera. I was able to gain 24 credits from Coursera and transferred the credits to another University!
@thechocolatemonster3392	Did the institution you took the courses from give you credits? Or did you have to show it to your university and convince them to give you credits?
@triceyb8188	My concern is are they accredited courses for big universities
@kentadran	I was a drop out student last 5 years ago. Now I found coursera as my way of motivation and success to have a higher rate of getting a job.
@arain764niara	Did you get a job?
@Alchemist523	Did you get a job
@benjaminvalencia1017	 @arain764niara  I know right? LMAO
@kentadran	For those who asked if I got a job. Yes I have a job right now and also got a 2 part time jobs. One during weekdays and one in weekends.
@Seeker7257	 @kentadran  Hello, if you will, could you please share your experience on coursera as of now? Did you get a job facilitated by those courses? Thank you.
@kentadran	 @Seeker7257 my experience is overwhelming positive, it did gave me a new chance of studying as I got no professional degree. Yes I did have a job facilitated by those courses. I am now working on a Chemical Factory
@Seeker7257	 @kentadran  Thank you for reply, so accordingly, those courses have the potential to allocate an entry level job or the likes? That means, if we complete a particular course, we are left with opportunities, right? \n\nI am a collage dropout, and am wondering as to what these courses can do for me. Thank you.
@kentadran	 @Seeker7257  Yes, completing the course & having the knowledge of that will surely be something great to add unto your resume/cv/bio-data. There are several courses you can choose from, some requires payment some are not. I took a course which was made by a private university in the states and the instructor is really professional on her videos, even tho you don't have the full set of ideas behind that course it still explains to you like you are kindergarten on a class. They also provide transcripts for you to read if you have time. I even learned Japanese with it. Well my recommendation from choosing a course is something you really love and like. I happened to choose a course on my college days and ended up not liking it. So better look for the one that will totally make you grind for more.
@UnbreakableBloke	I took up business courses in Coursera, most especially in project management. Today, I am now a project manager for two marketing agencies in the US. Coursera helps me to finally use my knowledge I learned in that platform in my role.
@zaidalmashan517	That's great!! congrats. What is the best Project management course at coursera which will make me understand everything about PM?
