,comment
0, (Discount Link) Join Coursera Family:  https://imp.i384100.net/DKd3L2
1,I'm living in a 3rd world country and I can't afford to pay $50 per month for courses!!
2,I took Python for everybody on Coursera. And it was the best programming course I took. Love dr Chuck!
3,I wish you could reviews the MOOCs by university of Helsinki. I think they have good courses and talking about it might help people to gain the free availibilty of such courses
4,"short and informative review, thanks"
5,"Hai,appreciate your vd,but may I ask if I learn from coursera the subjects that I didn’t learn during diploma,n can I know if the credits can be transfer when I study for degree?"
6,you are wrong man! some of coursera certificates really add value
7,Great review I have been using Coursera for almost 6 months now it does have some great Courses & I believe it is worth the price.
8,"Daniel, I appreciate your review of Coursera. Can you make a comparison video with other programming platforms? There are many of them and it's getting tough to choose."
9,I took 3 courses from coursera and graduated with two certificates. Nice platform. recommend
10,I just started on coursera last month and I can't believe that I didn't do it earlier
11,You don't lose access to courses after the end of subscription and you can Audit courses for free
12,"This channel has been very helpful and informative , I'm pretty sure I pressed the subscribe button before, strange."
13,Coursera is extremely popular these days. Thanks for video
14,"Valuable content, Daniel! thanks"
15,coursera is the best! I found out about this platform because of you
16,great video! I learn Coding on Coursera only
17,"Thank you for sharing your opinion, Daniel."
18,Thanks for the recommendation! Love your channel
19,Is coursera available in Arabic?
20,Coursera is brilliant. Like it
21,for me Udemy is better for learning Python and SQL
22,"Thanks, Daniel"
23,I completed 8 courses on Coursera and I highly recommend it.
24,I have been on Coursera since 2019. perfect platform for learning
25,Are Udemy's certificates considered as real?
26,"Coursera is a bit expensive, but it worth it"
27,any good webdev courses on coursera?
28,I like that Coursera has lots of advanced lvl courses especially in data science
29,Why should I pay for this if Udemy exists?
30,I think the content on Coursera is much better than on Udemy.
