author	comment
@BenEngineer	This is a great overview of the subscription, I would like to add that the value of these courses for most, is quite tied to the outcome that you are hoping for (usually career pivot/advancement). It is very important to realize that your time is very valuable, so try to be strategic about the courses that you take.\n\nTake my situation for example, I am trying to get into a specific niche within engineering, I have targeted some specializations and courses that could open some doors. Some of these aren't included in the Coursera Plus subscription, so its hard to see the value in trying to go for the cheaper option (Plus subscription) that will be less likely to add to my career progression.\n\nHaving access to thousands of courses could be more of a distraction, focus on the courses that add value to your goals, this is where the real financial incentive is!\n\nBest of luck with your learning and life successes <3
@johnmclaughlin9674	Im working on IT Professional just finished power users three of the five modules and I have to say Ill be working on learning the rest of my life wish I began earlier in life
@sadinosecleticos	actually i have been thinking about getting coursera PLUS, because as a Lawyer, I want to get into the Startup Legal Tech fields and in Coursera there are several courses about those topics.\nThanks!!\nGreat video!
@KP-ky1sn	Just one other thing. There are people who look at the time investment advertized and think its easy to cut on learning time. I made that mistake more than once. Subjects that require critical thinking may take a lot longerrrrrr, (50 hours?. Probably not enough, 100 hours more like it) so best to factor that in.
@lakkarajushankar	Good, you set right expectation of 3 courses in a year. However I planned 5 in a year and option for the subscription. Let me see how it will go.
@vle045	I subscribed in January at the discount rate.  My biggest issue is that I want to take SO MANY courses, certificates and specializations that I don’t know where to start and I keep jumping around.  I have completed a few of the ones that are easier for me because I am familiar with the content… just to “certify” my knowledge.   I am hoping to complete a few of the Google Certificates.\n\nAlso - I want to make note of another free program on Coursera.  It is the American Dream Academy.  This program allows you to complete a certification for free - including a few from Microsoft.  I am hoping to complete the Cybersecurity certificate.
@karteekkumar6141	how many courses you completed ?
@Fotospectra24	Just to clarify , I pat monthly for unlimited access to courses, then when completed, I pay for the certificate ?
@robertstreetman8620	Hi, Richard I am retired now but I am always learning. Thank you, Mr. Walls.
@AlfonsoRG278	I’m currently doing an in-person MBA and found this video while doing research on online learning platforms for a project. After watching this now I want to sign up to keep studying and complement my in-person courses.
@adityassahadaven1821	If I subscribe to coursera plus, I shouldn't be paying for the courses fees separately right?
@sa_0515	Thanks a lot Mr. Richard, I'm thinking of getting a certificate related to business or economics. The reason is, I am thinking of applying for some universities when my school finishes. As you know, schools do care about extracurricular activities and taking online courses is one of them.
@MickeyRegala	Subbed! Your channel feels very high quality.  Love the content!
@mr.chinaski2613	"Not really transparent - can't see the difference between the Plus and the Specialization.\n\nAlready finished a psychology course and now I want an UX research one and Google's Project Managment, but when I watch the links they all listed as ""coursera plus included"", but when I check the rules the Google/IBM etc courses are excluded..."
@TheGeekSheek	I'm trying to get my foot into the Software testing and Automation  Field, The year price is really good just got to make sure everything is included. Great video!
@miamia2365	Did you end up doing it ? How are the courses for that field ?
@sylvesteradim1532	Coursera gave me a discounted price for $39 per month but I declined the offer because am one person that loves to focus on a goal and achieve it before moving to the next one. I'll rather pay for a specialization program as a busy person.
@gadielrrzz	Well, its a shame that IBM is excluded from the subscription
@Carla369	Thank you!! I did not that there is a list of excluded, and also learnt that PWC and IBM is on the list of excludd
@stevewilliams3797	Thank you for sharing your advice about the prices of each subscription fee. Now I feel sure about taking the annual one.
@FuzzyFlowerGuy	I want to start taking course but I have a question. If I pay for the subscription, would I still have to pay for the certificate of each course I complete?
